iter	RMSE
286	305930.4418
287	305678.3272
288	305625.7233
289	305531.1114
290	305201.8543
291	305059.425
292	304880.1424
293	304678.5736
294	304438.8984
295	304370.9606
296	304253.7504
297	304172.0488
298	304000.6611
299	303992.4122
300	303664.1027
301	303510.815
302	303439.3814
303	303297.2474
304	303232.142
305	303153.1223
306	303095.5294
307	302578.8576
308	302526.0282
309	302336.0651
310	302260.5564
311	302163.1437
312	301968.3673
313	301873.1767
314	301828.8445
315	301786.4828
316	301744.4223
317	301438.704
318	301146.6554
319	301054.2655
320	300782.5523
321	300626.5249
322	300585.6986
323	300546.6559
324	300509.3406
325	300483.8425
326	300406.8951
327	300371.1583
328	300335.1097
329	300313.7848
330	300237.9477
331	300067.1515
332	299923.5504
333	299750.0763
334	299604.8539
335	299427.5175
336	299332.9694
337	299153.2534
338	299119.9869
339	299042.1009
340	298871.2786
341	298574.3797
342	298543.6217
343	298418.7767
344	298324.5717
345	298155.7811
346	298048.5721
347	297917.6656
348	297830.0251
349	297698.4202
350	297455.4483
351	297351.8682
352	297245.2337
353	297218.765
354	297133.3948
355	297066.6674
356	296980.7235
357	296864.4335
358	296786.5677
359	296722.9155
360	296653.9434
361	296535.2833
362	296362.5082
363	296306.4778
364	296200.4572
365	296070.5174
366	295972.6621
367	295875.5508
368	295688.5217
369	295516.3675
370	295320.4743
371	295216.487
372	295049.4469
373	294932.8852
374	294827.8696
375	294801.9962
376	294725.9455
377	294613.301
378	294539.9056
379	294479.2683
380	294223.0101
381	294104.9153
382	293711.5627
383	293508.9321
384	293400.8877
385	293226.1326
386	293201.7939
387	293114.4628
388	293090.1572
389	293004.9405
390	292944.1572
391	292856.1453
392	292772.7619
393	292662.3083
394	292421.0578
395	292314.6563
396	292243.7431
397	292227.6594
398	292213.5323
399	291959.1131
400	291945.7834
401	291887.6146
402	291724.686
403	291593.7402
404	291470.2213
405	291325.9973
406	291321.7408
407	291233.6677
408	291120.2197
409	291001.4731
410	290920.0783
411	290877.6929
412	290838.2108
413	290731.9687
414	290666.7918
415	290559.7454
416	290486.1528
417	290381.0273
418	290188.8389
419	290100.0762
420	289988.0636
421	289902.5126
422	289803.584
423	289652.8992
424	289593.3734
425	289355.3199
426	289224.8957
427	289079.9332
428	288949.6691
429	288859.1141
430	288783.7425
431	288734.9407
432	288652.1815
433	288572.4711
434	288491.6642
435	288297.5088
436	288215.1885
437	287984.3692
438	287762.7739
439	287460.524
440	287328.3826
441	287251.0052
442	287047.5543
443	286881.8978
444	286615.7347
445	286434.4605
446	286315.6267
447	286075.8052
448	286003.1427
449	285933.7457
450	285767.0017
451	285629.0876
452	285496.2609
453	285354.1279
454	285199.1102
455	285041.1501
456	284912.5212
457	284804.0796
458	284627.94
459	284434.2134
460	284368.9282
461	284234.1348
462	284072.4853
463	283949.8599
464	283848.5825
465	283731.3772
466	283612.8157
467	283609.66
468	283547.1975
469	283431.2021
470	283321.7443
471	283216.4468
472	283064.6901
473	282982.3523
